#SAMPLE_ID	SAMPLE_TYPE	TOTAL_READS	TOTAL_MIGS	OVERSEQ_THRESHOLD	COLLISION_THRESHOLD	UMI_QUAL_THRESHOLD	UMI_LEN
A2-i139	paired	6270402	2086428	1	1	15	16
A2-i138	paired	5108572	1766929	1	1	15	16
A2-i140	paired	6909059	1785213	1	1	15	16
A2-i131	paired	7557527	1450511	1	1	15	16
A2-i141	paired	7881235	2523683	1	1	15	16
A2-i132	paired	6389442	2027298	1	1	15	16
A2-i136	paired	5389823	1495214	2	2	15	16
A2-i133	paired	6278235	1626181	1	1	15	16
A2-i129	paired	6177177	1606666	1	1	15	16
A2-i134	paired	4794896	1546909	1	1	15	16
A3-i107	paired	10219690	6408578	1	1	15	16
A3-i106	paired	11147713	4532756	1	1	15	16
Luc1	paired	7098694	532525	8	8	15	16
Luc2	paired	7300355	349924	11	11	15	16
Luc3	paired	5720626	845918	4	4	15	16
A3-i101	paired	13887495	3286751	2	2	15	16
A3-i102	paired	14093535	2819248	2	2	15	16
MS6	paired	1885385	977809	1	1	15	16
MS7	paired	2732824	1066753	1	1	15	16
A3-i145	paired	25088538	4515113	2	2	15	16
MS8	paired	2615142	1481887	1	1	15	16
MS9	paired	2177280	1004507	1	1	15	16
MS14	paired	2625856	1162657	1	1	15	16
MS13	paired	3842968	451935	4	4	15	16
MS1	paired	2082189	1021517	1	1	15	16
A3-i150	paired	26952092	3496682	4	4	15	16
A3-i110	paired	11712416	7319849	1	1	15	16
A3-i151	paired	25014738	3772136	2	2	15	16
MS10	paired	3549929	1192970	2	2	15	16
MS3	paired	2053790	1306774	1	1	15	16
MS2	paired	2033428	332881	2	2	15	16
MS12	paired	3795039	593221	2	2	15	16
MS5	paired	1928054	858729	1	1	15	16
MS11	paired	2264440	1432553	1	1	15	16
MS4	paired	1645726	266434	2	2	15	16
A4-i189	paired	6444467	2610993	1	1	15	12
A4-i188	paired	5678515	3632517	1	1	15	12
A4-i186	paired	5566657	3677794	1	1	15	12
A4-i195	paired	6019628	3783016	1	1	15	12
A4-i183	paired	5246227	3495244	1	1	15	12
A4-i184	paired	6180335	3678771	1	1	15	12
A4-i122	paired	5425715	2798301	1	1	15	12
A4-i194	paired	4468360	3221379	1	1	15	12
A4-i185	paired	6039894	3792925	1	1	15	12
A4-i110	paired	6274024	4020386	1	1	15	12
A4-i191	paired	7003948	4184760	1	1	15	12
A4-i124	paired	6059808	3913980	1	1	15	12
A4-i107	paired	3847423	2815946	1	1	15	12
A4-i192	paired	6735421	2986574	1	1	15	12
A4-i125	paired	7144727	4489384	1	1	15	12
A4-i106	paired	4471043	3127175	1	1	15	12
A4-i190	paired	6510751	1695899	2	2	15	12
A4-i132	paired	7265729	3974618	1	1	15	12
A4-i127	paired	7128580	3052597	1	1	15	12
A4-i128	paired	6595569	3040245	1	1	15	12
A4-i102	paired	4248677	3086524	1	1	15	12
A4-i118	paired	7629698	1742570	2	2	15	12
A4-i101	paired	6066180	3409940	1	1	15	12
A5-S10	paired	5010752	1042671	11	11	15	12
A5-S12	paired	8938837	1165159	4	4	15	12
A5-S11	paired	5956809	1056249	2	2	15	12
A5-S14	paired	6266851	855191	4	4	15	12
A5-S13	paired	8628158	1243150	2	2	15	12
A5-S16	paired	9998555	1734513	2	2	15	12
A5-S15	paired	7918686	611553	8	8	15	12
A5-S1	paired	8732840	4068356	1	1	15	12
A5-S2	paired	6354771	2970568	1	1	15	12
A5-S3	paired	5136417	846098	4	4	15	12
A5-S4	paired	8004908	2972981	2	2	15	12
A5-S5	paired	8002146	2994955	2	2	15	12
A5-S6	paired	5769549	3628199	1	1	15	12
A5-S7	paired	5484604	2239365	1	1	15	12
A5-S8	paired	7193532	3006015	1	1	15	12
A5-S9	paired	1643822	594452	1	1	15	12
A5-S19	paired	3541329	1839481	1	1	15	12
A5-S18	paired	8015355	3193585	1	1	15	12
A5-S17	paired	7819627	4572045	1	1	15	12
A5-S24	paired	8497221	1926249	2	2	15	12
A5-S22	paired	1393176	146423	5	5	15	12
A5-S23	paired	2890303	1732492	1	1	15	12
A5-S20	paired	3649729	472542	4	4	15	12
A5-S21	paired	2652117	1580063	1	1	15	12
A6-I214ob	paired	7367783	1104695	2	2	15	12
A6-I201ob	paired	11318171	2310003	2	2	15	12
A6-I211ob	paired	10683424	1945238	2	2	15	12
A6-I208ob	paired	6225517	3772053	1	1	15	12
A6-I204ob	paired	9269681	4535926	1	1	15	12
A6-I207ob	paired	8532245	3576634	1	1	15	12
A6-I200ob	paired	51794660	9190864	2	2	15	12
A6-I205ob	paired	5930990	620937	4	4	15	12
A6-I215ob	paired	11246240	5291515	1	1	15	12
A6-I206ob	paired	9512608	676295	5	5	15	12
A6-I202ob	paired	47481600	7647680	2	2	15	12
A6-I150	paired	10660165	3617929	2	2	15	12
A6-I210ob	paired	9934761	2842908	2	2	15	12
A6-I160	paired	7058171	1421056	2	2	15	12
A7-I215ob	paired	1410791	196604	2	2	15	12
A7-I207ob	paired	1253525	170583	2	2	15	12
A7-I214ob	paired	2033555	146436	4	4	15	12
A7-i168	paired	2595692	1509366	1	1	15	12
A7-i169	paired	8333333	230043	11	11	15	12
A7-I205ob	paired	2157469	377256	2	2	15	12
A7-i175	paired	7718346	111610	22	22	15	12
A7-i174	paired	8322589	225212	11	11	15	12
A7-I211ob	paired	4121960	1151959	2	2	15	12
A7-i176	paired	1864395	420001	2	2	15	12
A7-I206ob	paired	1265810	131307	4	4	15	12
A7-i171	paired	5559828	166133	5	5	15	12
A7-i170	paired	3296750	45498	45	45	15	12
A7-i200	paired	1912189	38080	45	45	15	12
A7-I210ob	paired	2994742	203556	5	5	15	12
A7-I204ob	paired	2562522	502317	2	2	15	12
A7-I201ob	paired	4418131	337398	4	4	15	12
A7-I202ob	paired	4243959	225510	5	5	15	12
A7-i178	paired	2013262	322016	2	2	15	12
A7-i179	paired	4602123	200087	5	5	15	12
A7-i188	paired	5816496	111064	22	22	15	12
A7-i157	paired	3013221	1502681	1	1	15	12
A7-I208ob	paired	1209797	84619	5	5	15	12
A7-i186	paired	5196302	100764	16	16	15	12
A7-i185	paired	5557199	344041	5	5	15	12
A7-i184	paired	8935450	188082	11	11	15	12
A7-i183	paired	3044721	272828	4	4	15	12
A7-I212ob	paired	6498471	460828	4	4	15	12
A7-i182	paired	6825966	144339	16	16	15	12
A7-i180	paired	7199349	498526	5	5	15	12
A7-I213ob	paired	6370908	926195	2	2	15	12
