fig	var1	var2	F	p	etaSq
fig1	mean.insert.sz	af	35.808911327449	2.86871886304167e-16	0.671724678590666
fig1	mean.ndn.sz	af	13.8672057346544	2.22052930485031e-08	0.442092478748718
fig1	oof.fraction	af	6.64961633069779	0.000135301927213171	0.275350806391285
fig2	naive.of.cd3	af	40.4418097488047	9.41567847907174e-17	0.719710041900991
fig3	naive.cd4.of.cd3	af	17.0813923123458	1.718190413932e-09	0.524268335391956
fig3	naive.cd8.of.cd3	af	57.1845981478055	3.98307277866948e-20	0.78674987005527
fig4	cd4.to.cd8	af	2.38560883798004	0.0599810300578493	0.126318873722644
fig4	cd4.naive.to.cd8.naive	af	4.54142400013706	0.00278562916280834	0.226601862228253
fig4	naive.cd4.cd8.odds	af	4.27667279105722	0.00403860950458215	0.216248346536384
fig5	clones.per.0.3mln	af	32.70390897815	2.2755716456836e-15	0.651421565447892
fig6	abs.naive.cd4	af	8.03011492564577	0.000597632515735063	0.480937891009068
fig6	abs.naive.cd8	af	11.732951809742	4.78163371441131e-05	0.575155453191964
fig7	clones.per.0.3mln	sex	0.115860218962716	0.734587907971203	0.00165241100374298
