id_col1	factor_col1	lbl_col1	cluster
A2-i129	11	11	1
A2-i131	9	9	1
A2-i132	6	6	1
A2-i133	16	16	1
A2-i134	16	16	1
A2-i136	10	10	1
A2-i138	74	74	2
A2-i139	75	75	1
A2-i140	73	73	1
A2-i141	71	71	1
A3-i101	36	36	1
A3-i102	43	43	1
A3-i106	43	43	1
A3-i107	39	39	1
A3-i110	34	34	1
A3-i145	86	86	1
A3-i150	87	87	1
A4-i101	36	36	1
A4-i102	37	37	2
A4-i106	43	43	1
A4-i107	39	39	1
A4-i110	43	43	1
A4-i118	89	89	1
A4-i122	85	85	1
A4-i124	66	66	1
A4-i125	64	64	1
A4-i127	90	90	1
A4-i128	62	62	1
A4-i132	87	87	1
A4-i183	87	87	1
A4-i184	61	61	1
A4-i185	61	61	2
A4-i186	61	61	1
A4-i188	61	61	1
A4-i189	25	25	1
A4-i191	22	22	1
A4-i192	24	24	1
A4-i194	20	20	1
A4-i195	21	21	1
A5-S1	103	103	3
A5-S10	89	89	3
A5-S11	0	0	1
A5-S12	0	0	1
A5-S13	0	0	1
A5-S14	0	0	1
A5-S15	0	0	1
A5-S16	0	0	1
A5-S17	0	0	1
A5-S18	0	0	1
A5-S19	55	55	1
A5-S2	100	100	3
A5-S20	51	51	2
A5-S21	51	51	1
A5-S22	51	51	3
A5-S23	50	50	3
A5-S24	50	50	1
A5-S3	98	98	3
A5-S4	93	93	1
A5-S7	92	92	2
A5-S8	92	92	2
A5-S9	90	90	3
A6-I150	51	51	1
A6-I160	51	51	1
A6-I201ob	30	30	1
A6-I204ob	99	99	2
A6-I205ob	95	95	2
A6-I206ob	95	95	2
A6-I207ob	94	94	2
A6-I208ob	93	93	3
A6-I210ob	92	92	2
A6-I211ob	91	91	2
A6-I214ob	88	88	2
A6-I215ob	51	51	1
