age_grp_2	A
(25,50]	3.52999E-05
(25,50]	3.30618E-05
(25,50]	3.26102E-05
(25,50]	3.21248E-05
(25,50]	3.5014E-05
(25,50]	3.24672E-05
(25,50]	3.13236E-05
(25,50]	3.16187E-05
(25,50]	3.30821E-05
(25,50]	3.26724E-05
(25,50]	3.3096E-05
(25,50]	3.40555E-05
(25,50]	3.57636E-05
(25,50]	3.34229E-05
(25,50]	3.32187E-05
(25,50]	3.77302E-05
(25,50]	3.38775E-05
(25,50]	3.29603E-05
(25,50]	3.20501E-05
(25,50]	3.37945E-05
(25,50]	3.35797E-05
(25,50]	3.39226E-05
(25,50]	3.58805E-05
(25,50]	3.20676E-05
(25,50]	3.1613E-05
(25,50]	3.51692E-05
(25,50]	3.30795E-05
(25,50]	3.20405E-05
(25,50]	3.22384E-05
(25,50]	3.27397E-05
(25,50]	3.1013E-05
(25,50]	3.37551E-05
(25,50]	3.55044E-05
(25,50]	3.1084E-05
(25,50]	3.40418E-05
(25,50]	3.17775E-05
(25,50]	3.14157E-05
(25,50]	3.20765E-05
(25,50]	3.26803E-05
(25,50]	3.1408E-05
(25,50]	3.34898E-05
(25,50]	3.25324E-05
(25,50]	3.41433E-05
(25,50]	3.17001E-05
(25,50]	3.14775E-05
(25,50]	3.07613E-05
(25,50]	3.19052E-05
(25,50]	3.05177E-05
(25,50]	3.24494E-05
(25,50]	3.27681E-05
(75,103]	3.62184E-05
(75,103]	3.40682E-05
(75,103]	3.31399E-05
(75,103]	3.13748E-05
(75,103]	3.28501E-05
(75,103]	3.02057E-05
(75,103]	3.29814E-05
(75,103]	3.09137E-05
(75,103]	3.24507E-05
(75,103]	3.3929E-05
(75,103]	3.31311E-05
(75,103]	3.59294E-05
(75,103]	3.42493E-05
(75,103]	2.926E-05
(75,103]	3.34027E-05
(75,103]	3.34524E-05
(75,103]	3.26547E-05
(75,103]	3.42528E-05
(75,103]	3.44247E-05
(75,103]	3.45624E-05
(75,103]	3.47233E-05
(75,103]	3.14082E-05
